time,latitude,longitude,altitude,vel_n,vel_e,vel_d,eph,epv,sacc,gspeed,pdop,nsats,fix_type,valid,flags
2179465190,353477947,-1178093224,621096,-4,-41,14,1585,2084,231,41,1.389999986,11,3,7,1
2179566891,353477947,-1178093224,621040,-51,-1,38,1584,2083,218,51,1.389999986,11,3,7,1
2179666321,353477947,-1178093224,621017,7,-17,44,1583,2083,175,18,1.389999986,11,3,7,1
2179767895,353477947,-1178093224,621030,-7,-21,39,1582,2083,190,22,1.389999986,11,3,7,1
2179867334,353477947,-1178093225,621020,-14,-52,43,1581,2082,219,53,1.389999986,11,3,7,1
2179969028,353477946,-1178093226,621017,-62,-36,40,1580,2082,248,72,1.389999986,11,3,7,1
2180068342,353477948,-1178093227,620971,20,-54,63,1579,2081,188,58,1.389999986,11,3,7,1
2180170041,353477946,-1178093226,620974,-52,28,51,1578,2081,188,59,1.389999986,11,3,7,1
2180269094,353477946,-1178093227,620959,-27,-28,47,1577,2080,211,39,1.389999986,11,3,7,1
2180370795,353477948,-1178093226,620926,73,8,52,1576,2080,236,73,1.389999986,11,3,7,1
2180467626,353477946,-1178093229,620893,-71,-67,60,1576,2080,245,97,1.389999986,11,3,7,1
2180569575,353477946,-1178093229,620875,-20,-41,56,1575,2079,206,46,1.389999986,11,3,7,1
2180668750,353477946,-1178093228,620852,-3,6,54,1574,2079,167,7,1.389999986,11,3,7,1
2180768073,353477946,-1178093229,620820,28,-22,61,1573,2079,182,36,1.389999986,11,3,7,1
2180869763,353477946,-1178093229,620807,-20,-10,60,1572,2079,179,22,1.389999986,11,3,7,1
2180966564,353477944,-1178093230,620789,-68,-40,58,1571,2079,237,79,1.389999986,11,3,7,1
2181065999,353477945,-1178093232,620787,-2,-87,47,1570,2078,216,87,1.389999986,11,3,7,1
2181167692,353477945,-1178093231,620739,19,-15,61,1569,2078,176,24,1.389999986,11,3,7,1
2181266749,353477944,-1178093231,620748,-42,-18,52,1568,2077,213,46,1.389999986,11,3,7,1
2181368445,353477944,-1178093231,620702,-40,4,73,1567,2076,181,40,1.389999986,11,3,7,1
2181467758,353477943,-1178093233,620704,-66,-105,67,1566,2076,250,124,1.389999986,11,3,7,1
2181569483,353477943,-1178093234,620674,-37,-70,70,1565,2076,236,79,1.389999986,11,3,7,1
2181666286,353477942,-1178093234,620645,-30,-29,74,1565,2077,203,42,1.389999986,11,3,7,1
2181770494,353477942,-1178093234,620610,2,-28,84,1564,2077,187,28,1.389999986,11,3,7,1
2181867417,353477943,-1178093233,620625,32,-2,71,1563,2077,187,32,1.389999986,11,3,7,1
2181968993,353477942,-1178093235,620629,-17,-54,65,1563,2078,227,57,1.389999986,11,3,7,1
2182075454,353477942,-1178093234,620599,6,-8,76,1562,2078,177,10,1.389999986,11,3,7,1
2182170115,353477943,-1178093234,620592,60,7,71,1562,2079,211,60,1.389999986,11,3,7,1
2182266916,353477941,-1178093234,620580,-85,13,74,1561,2079,209,86,1.389999986,11,3,7,1
2182366359,353477941,-1178093234,620569,-58,-11,76,1561,2080,209,59,1.389999986,11,3,7,1
