UTCTIME,UNIXTIME,ALT,LAT,LON,#SATS,FIX,HORZV,VERTV,HEAD,FLAGS,>40,>32,>24,RSSI,BATT,Altitude AGL,Launch detection,Apogee detection,Landing detection,Distance (feet)
Feb 15 2025 16:57:00.599 UTC,1739667421,2056.8,35.3478,-117.80932,22,3,0,0,97,3,0,9,9,-60,4.096,0.8,FALSE,FALSE,FALSE,0
Feb 15 2025 16:57:00.699 UTC,1739667421,2056.8,35.3478,-117.80932,22,3,0,0,52,3,0,9,9,-60,4.096,0.8,FALSE,FALSE,FALSE,0
Feb 15 2025 16:57:00.799 UTC,1739667421,2056.8,35.3478,-117.80932,22,3,0,0,129,3,0,9,9,-60,4.096,0.8,FALSE,FALSE,FALSE,0
Feb 15 2025 16:57:00.899 UTC,1739667421,2056.8,35.3478,-117.80932,22,3,0,0,101,3,0,9,9,-60,4.096,0.8,FALSE,FALSE,FALSE,0
Feb 15 2025 16:57:01.000 UTC,1739667421,2056.8,35.3478,-117.80932,22,3,0,0,169,3,0,9,9,-60,4.096,0.8,FALSE,FALSE,FALSE,0
Feb 15 2025 16:57:01.099 UTC,1739667421,2056.8,35.3478,-117.80932,22,3,0,0,-98,3,0,9,9,-60,4.096,0.8,FALSE,FALSE,FALSE,0
Feb 15 2025 16:57:01.199 UTC,1739667421,2056.8,35.3478,-117.80932,22,3,0,0,-52,3,0,9,10,-60,4.096,0.8,FALSE,FALSE,FALSE,0
Feb 15 2025 16:57:01.299 UTC,1739667421,2056.8,35.3478,-117.80932,22,3,0,0,135,3,0,9,10,-60,4.096,0.8,FALSE,FALSE,FALSE,0
Feb 15 2025 16:57:01.399 UTC,1739667421,2056.8,35.3478,-117.80932,22,3,0,0,4,3,0,9,10,-60,4.096,0.8,FALSE,FALSE,FALSE,0
Feb 15 2025 16:57:01.499 UTC,1739667421,2056.8,35.3478,-117.80932,22,3,0,0,-50,3,0,9,10,-60,4.096,0.8,FALSE,FALSE,FALSE,0
